"Date" "CSpd" "RSpd" "RDir" "Bin"
"2002/11/20/0" 9.8 9.3518 298.78 13
"2002/11/20/6" 9.5 11.1599 292.67 13
"2002/11/20/12" 12.1 17.4672 315.24 14
"2002/11/20/18" 10.0 10.4014 337.39 14
"2002/11/21/0" 8.6 9.1797 303.01 13
"2002/11/21/6" 14.8 14.7734 309.52 13
"2002/11/21/12" 10.3 16.2112 338.66 15
"2002/11/21/18" 8.0 6.6311 348.71 15
"2002/11/22/0" 5.2 3.0074 356.20 15
"2002/11/22/6" 5.8 5.7684 170.98 7
"2002/11/22/12" 8.8 10.2071 188.45 8
"2002/11/22/18" 12.1 7.7620 218.20 9
"2002/11/23/0" 11.1 12.6468 292.33 12
"2002/11/23/6" 15.7 13.8303 310.61 13
"2002/11/23/12" 14.5 15.5884 311.37 13
"2002/11/23/18" 14.2 9.9237 310.94 13
"2002/11/24/0" 12.3 14.5345 319.20 14
"2002/11/24/6" 8.8 9.7645 330.56 14
"2002/11/24/12" 6.4 8.8964 338.93 15
"2002/11/24/18" 8.2 6.7409 327.76 14
"2002/11/25/0" 5.9 6.5825 335.80 14
"2002/11/25/6" 5.6 5.6287 276.14 12
"2002/11/25/12" 9.5 5.9171 217.42 9
"2002/11/25/18" 15.3 10.5567 204.61 9
"2002/11/26/0" 11.6 6.0531 149.18 6
"2002/11/26/6" 9.7 7.4824 29.65 1
"2002/11/26/12" 3.9 6.2030 10.22 0
"2002/11/26/18" 1.9 0.5411 67.88 3
"2002/11/27/0" 4.8 2.0999 205.36 9
"2002/11/27/6" 9.5 9.7131 220.41 9
"2002/11/27/12" 7.9 8.7842 221.30 9
"2002/11/27/18" 6.4 7.0573 290.76 12
"2002/11/28/0" 8.9 8.4033 308.25 13
"2002/11/28/6" 8.0 7.6008 302.68 13
"2002/11/28/12" 8.7 7.2817 261.34 11
"2002/11/28/18" 13.4 14.6304 257.78 11
"2002/11/29/0" 16.0 15.8871 276.15 12
"2002/11/29/6" 16.3 14.4395 300.83 13
"2002/11/29/18" 21.4 18.5025 293.25 13
"2002/11/30/0" 17.7 21.2215 327.52 14
"2002/11/30/6" 13.1 10.9579 326.17 14
"2002/11/30/12" 11.1 10.0234 335.26 14
"2002/11/30/18" 8.7 5.6299 289.75 12
